HARGA;LT;LB;JKT;JKM;Kota;
3500000000;256;237;4;3;Bandung;
1800000000;168;200;3;2;Bandung;
2350000000;100;170;3;2;Bandung;
1390000000;90;88;3;3;Bandung;
1500000000;115;98;3;2;Bandung;
2200000000;174;240;5;3;Bandung;
3150000000;215;140;4;3;Bandung;
1520000000;116;110;3;2;Bandung;
3500000000;195;300;3;3;Bandung;
1300000000;96;155;3;2;Bandung;
2500000000;260;160;4;3;Bandung;
1300000000;86;84;3;2;Bandung;
785000000;72;50;2;1;Bandung;
850000000;104;120;3;0;Bandung;
1100000000;150;120;2;2;Bandung;
2250000000;135;225;4;4;Bandung;
750000000;70;36;0;0;Bandung;
